DATE,Mtg15
7/25/2019,3.18
8/1/2019,3.2
8/8/2019,3.05
8/15/2019,3.07
8/22/2019,3.03
8/29/2019,3.06
9/5/2019,3
9/12/2019,3.09
9/19/2019,3.21
9/26/2019,3.16
10/3/2019,3.14
10/10/2019,3.05
10/17/2019,3.15
10/24/2019,3.18
10/31/2019,3.19
11/7/2019,3.13
11/14/2019,3.2
11/21/2019,3.15
11/27/2019,3.15
12/5/2019,3.14
12/12/2019,3.19
12/19/2019,3.19
12/26/2019,3.19
1/2/2020,3.16
1/9/2020,3.07
1/16/2020,3.09
1/23/2020,3.04
1/30/2020,3
2/6/2020,2.97
2/13/2020,2.97
2/20/2020,2.99
2/27/2020,2.95
3/5/2020,2.79
3/12/2020,2.77
3/19/2020,3.06
3/26/2020,2.92
4/2/2020,2.82
4/9/2020,2.77
4/16/2020,2.8
4/23/2020,2.86
4/30/2020,2.77
5/7/2020,2.73
5/14/2020,2.72
5/21/2020,2.7
5/28/2020,2.62
6/4/2020,2.62
6/11/2020,2.62
6/18/2020,2.58
6/25/2020,2.59
7/2/2020,2.56
7/9/2020,2.51
7/16/2020,2.48
7/23/2020,2.54
7/30/2020,2.51
8/6/2020,2.44
8/13/2020,2.46
8/20/2020,2.54
8/27/2020,2.46
9/3/2020,2.42
9/10/2020,2.37
9/17/2020,2.35
9/24/2020,2.4
10/1/2020,2.36
10/8/2020,2.37
10/15/2020,2.35
10/22/2020,2.33
10/29/2020,2.32
11/5/2020,2.32
11/12/2020,2.34
11/19/2020,2.28
11/25/2020,2.28
12/3/2020,2.26
12/10/2020,2.26
12/17/2020,2.21
12/24/2020,2.19
12/31/2020,2.17
1/7/2021,2.16
1/14/2021,2.23
1/21/2021,2.21
1/28/2021,2.2
2/4/2021,2.21
2/11/2021,2.19
2/18/2021,2.21
2/25/2021,2.34
3/4/2021,2.34
3/11/2021,2.38
3/18/2021,2.4
3/25/2021,2.45
4/1/2021,2.45
4/8/2021,2.42
4/15/2021,2.35
4/22/2021,2.29
4/29/2021,2.31
5/6/2021,2.3
5/13/2021,2.26
5/20/2021,2.29
5/27/2021,2.27
6/3/2021,2.27
6/10/2021,2.23
6/17/2021,2.24
6/24/2021,2.34
7/1/2021,2.26
7/8/2021,2.2
7/15/2021,2.22
7/22/2021,2.12
7/29/2021,2.1
8/5/2021,2.1
8/12/2021,2.15
8/19/2021,2.16
8/26/2021,2.17
9/2/2021,2.18
9/9/2021,2.19
9/16/2021,2.12
9/23/2021,2.15
9/30/2021,2.28
10/7/2021,2.23
10/14/2021,2.3
10/21/2021,2.33
10/28/2021,2.37
11/4/2021,2.35
11/10/2021,2.27
11/18/2021,2.39
11/24/2021,2.42
12/2/2021,2.39
12/9/2021,2.38
12/16/2021,2.34
12/23/2021,2.3
12/30/2021,2.33
1/6/2022,2.43
1/13/2022,2.62
1/20/2022,2.79
1/27/2022,2.8
2/3/2022,2.77
2/10/2022,2.93
2/17/2022,3.15
2/24/2022,3.14
3/3/2022,3.01
3/10/2022,3.09
3/17/2022,3.39
3/24/2022,3.63
3/31/2022,3.83
4/7/2022,3.91
4/14/2022,4.17
4/21/2022,4.38
4/28/2022,4.4
5/5/2022,4.52
5/12/2022,4.48
5/19/2022,4.43
5/26/2022,4.31
6/2/2022,4.32
6/9/2022,4.38
6/16/2022,4.81
6/23/2022,4.92
6/30/2022,4.83
7/7/2022,4.45
7/14/2022,4.67
7/21/2022,4.75
7/28/2022,4.58
8/4/2022,4.26
8/11/2022,4.59
8/18/2022,4.55
8/25/2022,4.85
9/1/2022,4.98
9/8/2022,5.16
9/15/2022,5.21
9/22/2022,5.44
9/29/2022,5.96
10/6/2022,5.9
10/13/2022,6.09
10/20/2022,6.23
10/27/2022,6.36
11/3/2022,6.29
11/10/2022,6.38
11/17/2022,5.98
11/23/2022,5.9
12/1/2022,5.76
12/8/2022,5.67
